stepsHour,avg_steps,avg_intensity,avg_calories
00:00:00,42.18843683083517,2.129550321199147,71.80513918629552
01:00:00,23.102893890675265,1.419078242229369,70.16505894962489
02:00:00,17.11039657020364,1.0439442658092186,69.18649517684887
03:00:00,6.426580921757756,0.4437299035369785,67.53804930332261
04:00:00,12.699570815450736,0.633047210300427,68.26180257510734
05:00:00,43.86909871244628,4.9506437768240135,81.70815450643792
06:00:00,178.50805585392092,7.771213748657344,86.99677765843184
07:00:00,306.04940923737985,10.733619763694941,94.47798066595047
08:00:00,427.5445757250265,14.668098818474732,103.33727175080567
09:00:00,433.30182599355487,15.387755102040815,106.14285714285711
10:00:00,481.66523143164704,17.643702906350914,110.4607104413348
11:00:00,456.8867313915853,16.92125134843581,109.80690399137013
12:00:00,548.6420824295,19.847071583514023,117.19739696312374
13:00:00,537.6981541802395,18.775244299674235,115.3094462540714
14:00:00,540.5135722041263,18.868621064060815,115.73289902280118
15:00:00,406.31912568305916,15.584699453551899,106.63715846994526
16:00:00,496.8456449834611,17.716648291069472,113.32745314222687
17:00:00,550.2328918322285,21.655629139072854,122.75275938189877
18:00:00,599.1699779249439,21.92163355408389,123.4922737306844
19:00:00,583.3907284768213,21.38520971302426,121.48454746136875
20:00:00,353.9050772626927,14.339955849889632,102.35761589403978
21:00:00,308.1381215469611,12.072928176795575,96.05635359116027
22:00:00,237.987831858407,9.063053097345144,88.26548672566368
23:00:00,122.13289036544798,4.996677740863786,77.59357696566995
